Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,0.236,0.002,4.31198,3.3363,14.0669,0.01
259,0.237,0.002,0.65672,81.7874,96.1825,1.0000000000000004e-08
260,0.232,0.002,0.66631,81.6561,95.4824,1.0000000000000004e-08
261,0.232,0.002,0.68038,81.5139,95.7121,1.0000000000000004e-08
262,0.231,0.002,0.68368,81.5795,95.6355,1.0000000000000004e-08
263,0.231,0.002,0.66372,81.503,95.9527,1.0000000000000004e-08
264,0.232,0.003,0.65376,82.0608,96.2481,1.0000000000000004e-08
265,0.233,0.002,0.65881,82.1921,96.1059,1.0000000000000004e-08
266,0.23,0.002,0.66768,81.7545,95.9418,1.0000000000000004e-08
267,0.23,0.002,0.68229,80.8904,95.723,1.0000000000000004e-08
268,0.232,0.002,0.64876,82.1483,95.9965,1.0000000000000004e-08
269,0.232,0.002,0.67473,81.7108,95.3949,1.0000000000000004e-08
270,0.231,0.002,0.65223,82.4109,95.7777,1.0000000000000004e-08
271,0.231,0.003,0.66584,81.8311,95.9527,1.0000000000000004e-08
272,0.232,0.002,0.65692,81.6889,96.0512,1.0000000000000004e-08
273,0.233,0.002,0.66101,81.842,96.0512,1.0000000000000004e-08
274,0.231,0.002,0.65278,82.1155,96.4778,1.0000000000000004e-08
275,0.231,0.002,0.66014,81.8202,95.9418,1.0000000000000004e-08
276,0.232,0.003,0.6442,82.1155,96.1825,1.0000000000000004e-08
277,0.233,0.003,0.65198,81.9952,96.0512,1.0000000000000004e-08
278,0.232,0.003,0.65531,81.5576,96.2043,1.0000000000000004e-08
279,0.231,0.002,0.66004,81.4592,95.8215,1.0000000000000004e-08
280,0.232,0.002,0.66907,81.842,95.8871,1.0000000000000004e-08
281,0.233,0.003,0.64054,82.5093,96.2262,1.0000000000000004e-08
282,0.231,0.002,0.65125,82.1155,96.3356,1.0000000000000004e-08
283,0.23,0.002,0.65833,81.6889,96.1496,1.0000000000000004e-08
284,0.23,0.002,0.67464,81.3936,95.8652,1.0000000000000004e-08
285,0.231,0.002,0.66849,81.5139,95.6355,1.0000000000000004e-08
286,0.23,0.002,0.64504,81.9514,96.1934,1.0000000000000004e-08
287,0.23,0.002,0.6711,81.2732,95.8543,1.0000000000000004e-08
288,0.234,0.003,0.65942,81.7217,95.9965,1.0000000000000004e-08
289,0.236,0.003,0.66987,81.1857,95.8543,1.0000000000000004e-08
290,0.233,0.002,0.67784,81.4264,95.8105,1.0000000000000004e-08
291,0.234,0.003,0.66983,81.4045,95.8543,1.0000000000000004e-08
292,0.237,0.003,0.67148,81.9077,95.5261,1.0000000000000004e-08
293,0.236,0.003,0.67029,81.7874,95.6027,1.0000000000000004e-08
294,0.233,0.002,0.65828,81.7217,96.0293,1.0000000000000004e-08
295,0.235,0.003,0.65172,81.8311,96.2043,1.0000000000000004e-08
296,0.234,0.003,0.65829,81.667,96.0184,1.0000000000000004e-08
297,0.232,0.002,0.6775,81.6233,95.6683,1.0000000000000004e-08
298,0.231,0.002,0.65114,82.3343,95.8762,1.0000000000000004e-08
299,0.233,0.002,0.65833,81.6889,96.0512,1.0000000000000004e-08
300,0.235,0.003,0.65034,81.853,96.1168,1.0000000000000004e-08
301,0.234,0.003,0.66149,81.8639,95.9856,1.0000000000000004e-08
302,0.234,0.002,0.64905,82.0718,96.0293,1.0000000000000004e-08
303,0.236,0.003,0.66162,81.678,95.9746,1.0000000000000004e-08
304,0.234,0.002,0.65279,81.6233,96.1168,1.0000000000000004e-08
305,0.234,0.003,0.66391,81.678,95.7996,1.0000000000000004e-08
306,0.234,0.002,0.6627,81.8311,96.0074,1.0000000000000004e-08
307,0.232,0.002,0.66309,81.6233,96.0074,1.0000000000000004e-08
308,0.231,0.002,0.67566,81.5686,95.7887,1.0000000000000004e-08
309,0.232,0.002,0.66135,82.0936,95.9309,1.0000000000000004e-08
310,0.234,0.002,0.6747,81.3279,95.9309,1.0000000000000004e-08
311,0.231,0.002,0.67587,81.3498,95.909,1.0000000000000004e-08
312,0.23,0.002,0.65742,81.8311,95.9965,1.0000000000000004e-08
313,0.231,0.002,0.67462,81.2842,95.6683,1.0000000000000004e-08
314,0.231,0.002,0.67162,81.7655,95.8652,1.0000000000000004e-08
315,0.231,0.002,0.66102,81.8749,95.9856,1.0000000000000004e-08
316,0.231,0.002,0.66949,81.5467,95.8434,1.0000000000000004e-08
317,0.23,0.002,0.65283,81.5139,96.3247,1.0000000000000004e-08
318,0.231,0.002,0.65407,81.3498,96.2043,1.0000000000000004e-08
319,0.231,0.002,0.65087,81.9952,96.2371,1.0000000000000004e-08
320,0.234,0.003,0.65994,81.8639,96.2262,1.0000000000000004e-08
321,0.234,0.003,0.66937,81.5795,95.7559,1.0000000000000004e-08
322,0.236,0.003,0.66094,81.8311,95.8871,1.0000000000000004e-08
323,0.235,0.003,0.65367,82.1702,96.0293,1.0000000000000004e-08
0,0.047,0.001,4.90023,1.8814,8.5102,0.01
1,0.047,0.001,4.53877,2.5159,10.0853,0.01
2,0.047,0.001,4.51285,2.1221,9.7025,0.01
3,0.047,0.001,4.51549,2.2096,10.5447,0.01
4,0.047,0.001,4.50182,2.4393,11.0588,0.01
5,0.047,0.001,4.40488,3.194,12.7324,0.001
0,0.236,0.002,4.38218,2.7237,12.5793,0.01
0,0.236,0.003,4.29924,3.8285,15.489,0.01
0,0.237,0.003,4.09868,6.8913,23.0584,0.01
1,0.232,0.002,3.0389,22.7521,53.3363,0.01
2,0.231,0.002,2.48218,34.522,67.8079,0.01
3,0.23,0.002,2.13961,43.054,74.9508,0.01
4,0.232,0.002,1.87813,48.6655,80.2341,0.01
5,0.232,0.003,1.72028,53.0628,82.389,0.01
0,0.236,0.002,4.22107,4.8676,18.7158,0.01
1,0.231,0.002,3.36349,16.2218,44.4104,0.01
2,0.23,0.002,2.74442,27.7073,61.1682,0.01
3,0.231,0.003,2.31523,38.427,71.6583,0.01
4,0.231,0.002,2.04368,44.4323,76.9197,0.01
5,0.231,0.002,1.8516,49.0702,80.431,0.01
6,0.23,0.002,1.65638,54.1895,83.3625,0.01
7,0.23,0.002,1.53144,57.1538,85.4518,0.01
8,0.232,0.002,1.40866,61.1901,87.016,0.01
9,0.231,0.002,1.36266,62.3496,87.727,0.01
0,4.042,3.844,4.39233,2.6362,12.4152,0.01
1,3.839,3.646,4.59346,1.247,5.9834,0.01
2,3.798,3.607,4.59106,1.2142,5.4583,0.01
3,3.894,3.702,4.58584,1.0282,5.4583,0.01
